epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1327,0.86018,1.0065,0.99973,0.82083,0.64521,0.6936,0.48722,0.7689,0.79978,0.90893,0.000414126,0.000414126,0.000414126
2,100.03,0.8537,0.6321,0.97813,0.86724,0.64233,0.72286,0.49055,0.76953,0.61629,0.92844,0.000797893,0.000797893,0.000797893
3,146.86,0.8698,0.61729,0.98136,0.7394,0.7204,0.7091,0.48911,0.7869,0.5875,0.91626,0.00114866,0.00114866,0.00114866
4,193.054,0.83725,0.57426,0.96981,0.84148,0.67147,0.74389,0.51452,0.74834,0.52218,0.90477,0.0011015,0.0011015,0.0011015
5,239.498,0.82176,0.55469,0.96243,0.7922,0.68028,0.70842,0.49804,0.74827,0.49136,0.89994,0.001052,0.001052,0.001052
6,285.981,0.77929,0.51808,0.9448,0.87697,0.66982,0.75138,0.5231,0.68851,0.44867,0.87656,0.0010025,0.0010025,0.0010025
7,332.411,0.76545,0.49612,0.94116,0.83544,0.69384,0.74285,0.52058,0.71401,0.45333,0.89424,0.000953,0.000953,0.000953
8,378.832,0.73718,0.48044,0.93218,0.91443,0.67839,0.77764,0.55069,0.68144,0.42586,0.87148,0.0009035,0.0009035,0.0009035
9,425.84,0.74031,0.46746,0.9319,0.88645,0.72661,0.7935,0.56771,0.66312,0.40481,0.86189,0.000854,0.000854,0.000854
10,472.882,0.72123,0.46083,0.92284,0.8638,0.7293,0.77394,0.56236,0.66309,0.40137,0.86723,0.0008045,0.0008045,0.0008045
11,519.563,0.70256,0.44788,0.92042,0.83651,0.73274,0.7768,0.56789,0.64645,0.3981,0.8573,0.000755,0.000755,0.000755
12,566.257,0.69214,0.42619,0.91286,0.89663,0.75277,0.8096,0.5817,0.63179,0.37798,0.85077,0.0007055,0.0007055,0.0007055
13,612.836,0.6912,0.42736,0.90937,0.85085,0.7476,0.79012,0.56982,0.64644,0.37584,0.84978,0.000656,0.000656,0.000656
14,659.425,0.6772,0.41447,0.90601,0.88276,0.71577,0.79739,0.57841,0.62279,0.36927,0.85139,0.0006065,0.0006065,0.0006065
15,706.022,0.64726,0.39941,0.89901,0.85399,0.79328,0.81917,0.59614,0.6175,0.36927,0.85022,0.000557,0.000557,0.000557
16,781.817,0.6713,0.40059,0.87679,0.85145,0.72144,0.79776,0.58036,0.62514,0.36575,0.85155,0.0005075,0.0005075,0.0005075
17,828.707,0.66587,0.38926,0.87259,0.85672,0.73831,0.80083,0.5775,0.61356,0.36248,0.84484,0.000458,0.000458,0.000458
18,875.484,0.65294,0.37791,0.87424,0.87931,0.74035,0.79832,0.58149,0.61026,0.36056,0.84613,0.0004085,0.0004085,0.0004085
19,922.265,0.64079,0.37119,0.86463,0.91588,0.73943,0.82941,0.6084,0.60946,0.35121,0.84595,0.000359,0.000359,0.000359
20,969.254,0.6279,0.36094,0.8619,0.90927,0.73402,0.82057,0.60958,0.58841,0.33393,0.832,0.0003095,0.0003095,0.0003095
21,1016.05,0.61311,0.34916,0.85611,0.88485,0.77586,0.83176,0.61379,0.5905,0.33115,0.83585,0.00026,0.00026,0.00026
22,1062.64,0.6037,0.33984,0.84911,0.88154,0.74535,0.81689,0.61322,0.58102,0.32681,0.83261,0.0002105,0.0002105,0.0002105
23,1109.13,0.58685,0.32916,0.84974,0.90104,0.7506,0.82502,0.61843,0.56992,0.32098,0.83124,0.000161,0.000161,0.000161
24,1156,0.57736,0.31896,0.84617,0.90347,0.75959,0.83565,0.61753,0.56769,0.31361,0.82997,0.0001115,0.0001115,0.0001115
25,1202.77,0.57151,0.31384,0.84225,0.89476,0.77294,0.83147,0.62365,0.56437,0.30947,0.82748,6.2e-05,6.2e-05,6.2e-05
